ID,PracticeCode,Name,CreatedDate,UpdatedDate
1,8516,Company 8516                                                                                        ,2014-06-17 13:52:07.983,2014-06-17 13:52:07.983
2,7548,Company 7548                                                                                        ,2014-06-17 13:52:08.030,2014-06-17 13:52:08.030
3,2678,Company 2678                                                                                        ,2014-06-17 13:52:08.030,2014-06-17 13:52:08.030
4,8851,Company 8851                                                                                        ,2014-06-17 13:52:08.030,2014-06-17 13:52:08.030
5,1904,Company 1904                                                                                        ,2014-06-17 13:52:08.030,2014-06-17 13:52:08.030
6,7995,Company 7995                                                                                        ,2014-06-17 13:52:08.030,2014-06-17 13:52:08.030
7,5681,Company 5681                                                                                        ,2014-06-17 13:52:08.030,2014-06-17 13:52:08.030
8,9671,Company 9671                                                                                        ,2014-06-17 13:52:08.030,2014-06-17 13:52:08.030
9,4464,Company 4464                                                                                        ,2014-06-17 13:52:08.030,2014-06-17 13:52:08.030
10,2184,Company 2184                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
11,2019,Company 2019                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
12,4515,Company 4515                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
13,5210,Company 5210                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
14,4111,Company 4111                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
15,7209,Company 7209                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
16,4438,Company 4438                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
17,5631,Company 5631                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
18,1752,Company 1752                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
19,5594,Company 5594                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
20,2684,Company 2684                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
21,1517,Company 1517                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
22,7631,Company 7631                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
23,8928,Company 8928                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
24,5438,Company 5438                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
25,7238,Company 7238                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
26,3980,Company 3980                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
27,9872,Company 9872                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
28,1574,Company 1574                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
29,1567,Company 1567                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
30,6353,Company 6353                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
31,1169,Company 1169                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
32,9167,Company 9167                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
33,3306,Company 3306                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
34,5790,Company 5790                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
35,8419,Company 8419                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
36,3589,Company 3589                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
37,6224,Company 6224                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
38,2905,Company 2905                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
39,7268,Company 7268                                                                                        ,2014-06-17 13:52:08.047,2014-06-17 13:52:08.047
40,7623,Company 7623                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
41,9218,Company 9218                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
42,3165,Company 3165                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
43,4871,Company 4871                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
44,9536,Company 9536                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
45,3332,Company 3332                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
46,4047,Company 4047                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
47,8052,Company 8052                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
48,1682,Company 1682                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
49,5714,Company 5714                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
50,3132,Company 3132                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
51,2678,Company 2678                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
52,1070,Company 1070                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
53,9071,Company 9071                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
54,9035,Company 9035                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
55,1409,Company 1409                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
56,6114,Company 6114                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
57,2456,Company 2456                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
58,1717,Company 1717                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
59,6599,Company 6599                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
60,4070,Company 4070                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
61,6994,Company 6994                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
62,6630,Company 6630                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
63,1643,Company 1643                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
64,2958,Company 2958                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
65,3094,Company 3094                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
66,5385,Company 5385                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
67,2829,Company 2829                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
68,6940,Company 6940                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
69,1910,Company 1910                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
70,1230,Company 1230                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
71,8035,Company 8035                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
72,4135,Company 4135                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
73,3368,Company 3368                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
74,9098,Company 9098                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
75,5644,Company 5644                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
76,3479,Company 3479                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
77,1219,Company 1219                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
78,1098,Company 1098                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
79,9341,Company 9341                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
80,4740,Company 4740                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
81,9861,Company 9861                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
82,5142,Company 5142                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
83,8204,Company 8204                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
84,3525,Company 3525                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
85,9672,Company 9672                                                                                        ,2014-06-17 13:52:08.060,2014-06-17 13:52:08.060
86,2197,Company 2197                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
87,7934,Company 7934                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
88,9027,Company 9027                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
89,1588,Company 1588                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
90,5387,Company 5387                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
91,6022,Company 6022                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
92,5891,Company 5891                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
93,5291,Company 5291                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
94,7121,Company 7121                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
95,7199,Company 7199                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
96,8117,Company 8117                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
97,4926,Company 4926                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
98,6510,Company 6510                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
99,8401,Company 8401                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
100,4686,Company 4686                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
101,1501,Company 1501                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
102,6356,Company 6356                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
103,2825,Company 2825                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
104,5760,Company 5760                                                                                        ,2014-06-17 13:52:08.077,2014-06-17 13:52:08.077
105,5002,Company 5002                                                                                        ,2014-06-17 13:52:08.093,2014-06-17 13:52:08.093
106,6491,Company 6491                                                                                        ,2014-06-17 13:52:08.093,2014-06-17 13:52:08.093
107,2404,Company 2404                                                                                        ,2014-06-17 13:52:08.107,2014-06-17 13:52:08.107
108,9460,Company 9460                                                                                        ,2014-06-17 13:52:08.107,2014-06-17 13:52:08.107
